user_id,create_time,rev_krw,region
400000004,2025-10-09 02:02:21,0,jp
400000010,2025-10-09 02:02:21,0,jp
400000012,2025-10-09 02:02:21,441800,jp
400000013,2025-10-09 02:02:21,1296700,jp
400000017,2025-10-09 02:02:21,8347300,jp
400000018,2025-10-08 20:42:45.260234,630500,jp
400000019,2025-10-08 21:24:05.696596,0,jp
400000021,2025-10-08 21:27:08.916341,0,jp
400000022,2025-10-08 21:35:33.736364,0,jp
400000023,2025-10-08 21:37:36.542078,0,jp
400000026,2025-10-08 21:45:42.572696,0,jp
400000035,2025-10-08 22:26:54.483201,0,jp
400000037,2025-10-08 23:51:45.078765,1100,jp
400000038,2025-10-09 01:50:10.582712,1179900,jp
400000039,2025-10-09 01:50:58.99342,0,jp
400000050,2025-10-09 01:50:10.520014,0,jp
400000052,2025-10-09 01:50:27.406428,0,jp
400000055,2025-10-09 01:50:16.257887,0,jp
400000059,2025-10-09 01:50:16.455612,0,jp
400000060,2025-10-09 01:50:15.22989,870100,jp
400000070,2025-10-09 01:50:12.034168,2176700,jp
400000073,2025-10-09 01:50:10.580001,26179400,jp
400000090,2025-10-09 01:51:18.364888,59400,jp
400000103,2025-10-09 01:50:15.673231,5129100,jp
400000106,2025-10-09 01:50:16.57836,368000,jp
400000118,2025-10-09 01:50:23.384223,453900,jp
400000120,2025-10-09 02:01:39.65412,326700,jp
400000121,2025-10-09 01:50:15.505353,1100,jp
400000126,2025-10-09 01:54:06.383407,2202800,jp
400000129,2025-10-09 01:50:32.221028,81000,jp
400000134,2025-10-09 01:50:31.247393,154300,jp
400000137,2025-10-09 01:51:08.45069,2130200,jp
400000138,2025-10-09 01:50:37.988104,0,jp
400000139,2025-10-09 01:50:19.697171,17600,jp
400000142,2025-10-09 01:50:21.999787,54800,jp
400000153,2025-10-09 01:50:38.349691,420300,jp
400000155,2025-10-09 01:50:26.134955,141300,jp
400000159,2025-10-09 01:50:23.174339,12831200,jp
400000165,2025-10-09 01:50:36.526778,0,jp
400000167,2025-10-09 01:50:48.805429,7700,jp
400000173,2025-10-09 01:50:43.538583,1115300,jp
400000174,2025-10-09 01:50:25.235498,38300,jp
400000176,2025-10-09 01:50:29.091672,104600,jp
400000177,2025-10-09 02:06:24.787198,0,jp
400000187,2025-10-09 01:50:42.444437,1100,jp
400000194,2025-10-09 01:50:43.781825,0,jp
400000201,2025-10-09 01:50:49.296793,186700,jp
400000202,2025-10-09 01:50:28.284171,83900,jp
400000203,2025-10-09 01:50:28.725546,0,jp
400000214,2025-10-09 01:50:39.987886,2757300,jp
400000217,2025-10-09 01:50:47.347039,741200,jp
400000220,2025-10-09 02:19:44.999294,0,jp
400000221,2025-10-09 01:50:33.999237,1748300,jp
400000222,2025-10-09 01:50:59.38037,0,jp
400000223,2025-10-09 01:50:59.474774,39400,jp
400000225,2025-10-09 01:51:25.168146,29500,jp
400000229,2025-10-09 01:50:53.960504,513300,jp
400000230,2025-10-09 01:50:36.488774,113200,jp
400000236,2025-10-09 01:50:43.231898,49500,jp
400000238,2025-10-09 01:50:39.621719,1457600,jp
400000240,2025-10-09 01:50:55.335073,0,jp
400000245,2025-10-09 01:51:06.109581,0,jp
400000251,2025-10-09 01:51:04.340996,106500,jp
400000257,2025-10-09 01:50:54.779442,19800,jp
400000269,2025-10-09 02:32:35.407115,0,jp
400000280,2025-10-09 01:50:52.073718,4913800,jp
400000288,2025-10-09 01:50:59.578829,2200,jp
400000291,2025-10-09 01:50:47.453662,75500,jp
400000292,2025-10-09 01:51:00.169173,0,jp
400000295,2025-10-09 01:50:55.062815,3675300,jp
400000300,2025-10-09 02:17:15.785479,1100,jp
400000308,2025-10-09 14:01:32.083332,107400,jp
400000310,2025-10-09 01:51:03.426286,642300,jp
400000311,2025-10-09 01:50:54.068474,29500,jp
400000315,2025-10-09 01:50:50.539715,9900,jp
400000323,2025-10-09 01:50:55.971669,216800,jp
400000331,2025-10-09 01:50:54.852194,0,jp
400000343,2025-10-09 01:50:54.323823,586500,jp
400000345,2025-10-09 01:51:06.977666,57500,jp
